"category","Product Link"
"alm_tools agiles_projektmanagement_tools anforderungsmanagement_tools devops_tools user_testing_software testmanagement-tools scrum_tools qm_software_(qualitätsmanagement) prüfsoftware","https://www.capterra.ch/reviews/173762/qtest"
"alm_tools anforderungsmanagement_tools programmiersoftware_&_entwicklertools plm-software","https://www.capterra.ch/reviews/80432/jama"
"alm_tools anforderungsmanagement_tools plm-software","https://www.capterra.ch/reviews/146581/visure-requirements"
"alm_tools agiles_projektmanagement_tools bugtracker collaboration_tools devops_tools scrum_tools projekttracking_software projektmanagement_tools_für_gemeinnützige_organisationen projektmanagement_tools plm-software kanban_tools","https://www.capterra.ch/reviews/85434/spirateam"
"alm_tools cloud_management_software continuous-integration-tools devops_tools digital_adoption_platform_software enterprise_architecture_tools no-code_tools it-management-software","https://www.capterra.ch/reviews/199419/kubermatic-kubernetes-platform"
"alm_tools agiles_projektmanagement_tools anforderungsmanagement_tools betriebsmittelverwaltung_software betriebswirtschaftliche_software bpm-tools bugtracker case_management_software_für_kanzleien collaboration_tools creative_management_software crm-systeme digital_workplace_software_(digitaler_arbeitsplatz) display_advertising_tools gantt_software home_office_software hr_software ideenmanagement_software zeiterfassungssysteme workflow_management_systeme whiteboard-software werbeagentur_software unternehmensführung_software team-kommunikation_software team_management_software task_management_tools scrum_tools sales_tracking_software projekttracking_software projektplanungssoftware projektmanagement_tools_für_gemeinnützige_organisationen projektmanagement_tools produktmanagement_software produktivitätssoftware product_roadmap_tools ppm-software plm-software personaleinsatzplanung_software online-proofing-tools mitarbeiterüberwachung_software mitarbeiterbeurteilung_software marketing_planungstool kontaktmanagement_software kanban_tools kampagnenmanagement_tools it-projektmanagement_software issue_tracking_software","https://www.capterra.ch/reviews/158833/clickup"
"alm_tools account_based_marketing_tools agiles_projektmanagement_tools all-in-one-marketingplattformen anforderungsmanagement_tools anlagegüterverwaltungssystem anwaltssoftware auftragsmanagement_software ausgabenmanagement-software baumanagement_software bauplanungssoftware bedarfsplanung_software betriebsmittelverwaltung_software betriebswirtschaftliche_software bpm-tools brand_management_software bugtracker businessplan_software case_management_software_für_kanzleien change-management-software collaboration_tools content_marketing_software content-management-systeme cpm_software creative_management_software dashboard_software dienstplan_software_&_schichtplaner digital_workplace_software_(digitaler_arbeitsplatz) display_advertising_tools dokumentenautomatisierung_software dokumenten-management-systeme eam_software ecm_software_(enterprise_content_management_systeme) enterprise_architecture_tools entity_management_software erp_systeme event_management_software event_marketing_software fernüberwachungs-_und_verwaltungssoftware filesharing_programme finanzverwaltungssoftware gantt_software home_office_software hr_software ideenmanagement_software zeiterfassungssysteme zeit-_und_spesenabrechnung-software workflow_management_systeme werbeagentur_software vorstandssitzung_software unternehmensführung_software team-kommunikation_software team_management_software task_management_tools stempeluhr_software spieleentwicklung_software social_media_analyse_tools scrum_tools risikomanagement_software reporting-tools psa-software_(professional_services_automation) projekttracking_software projektplanungssoftware projektmanagement_tools_für_gemeinnützige_organisationen projektmanagement_tools produktmanagement_software produktivitätssoftware produktionsplanung_software product_roadmap_tools ppm-software plm-software planungssoftware online-proofing-tools onboarding_software okr-tools mrm_software_(marketing_resource_management) mitarbeiterkommunikation_tools mitarbeiterbeurteilung_software marketing_planungstool marketing_automation_tools marketing_attribution_software marketing_analysesoftware mängelprotokoll-software maklersoftware log_management_software kontaktmanagement_software kommunikationsplattformen kanban_tools kampagnenmanagement_tools kalender_software iwms_software it-service-software it-projektmanagement_software it-management-software issue_tracking_software","https://www.capterra.ch/reviews/76113/wrike"
"alm_tools app-builder_software backup-software big_data_software bi-tools cloud_management_software cloud_security_software cloud-speicher compliance_management_systeme content-delivery-network dashboard_software data_discovery_tools data_governance_tools data-mining-tools data-warehouse-systeme datenanalyse_tools datenbank_software datenmanagement_software datenvisualisierung_software dcim_software disaster_recovery dlp-software iaas-software_(infrastructure-as-a-service) identity_management_systeme workflow_management_systeme virtualisierungssoftware virtual_machine_software spieleentwicklung_software siem_tools_(security_information_&_event_management) sicherheitssoftware rdbms_software_(relational_database_management_system) programmiersoftware_&_entwicklertools predictive_analytics_tools netzwerksicherheit_software netzwerk_monitoring_tools network_mapping_tools marketing_analysesoftware machine_learning_software ki_tools iot_plattformen","https://www.capterra.ch/reviews/170983/google-cloud-platform"
"alm_tools agiles_projektmanagement_tools anforderungsmanagement_tools betriebsmittelverwaltung_software betriebswirtschaftliche_software bpm-tools businessplan_software collaboration_tools diagramm_software dokumenten-management-systeme flowchart_software gantt_software ideenmanagement_software wissensmanagement_tools wissensdatenbank_software whiteboard-software scrum_tools projektplanungssoftware projektmanagement_tools produktmanagement_software product_roadmap_tools plm-software okr-tools notizprogramme mindmap-tools kapazitätsplanung_software kanban_tools innovationsmanagement-software","https://www.capterra.ch/reviews/144020/aha"
"alm_tools container-sicherheitssoftware continuous-integration-tools devops_tools programmiersoftware_&_entwicklertools","https://www.capterra.ch/reviews/148132/docker"
"alm_tools agiles_projektmanagement_tools zeiterfassungssysteme workflow_management_systeme task_management_tools projektmanagement_tools_für_gemeinnützige_organisationen projektmanagement_tools produktivitätssoftware product_roadmap_tools ppm-software it-projektmanagement_software","https://www.capterra.ch/reviews/151667/favro"
"alm_tools app-builder_software workflow_management_systeme programmiersoftware_&_entwicklertools paas_software_(platform_as_a_service) low_code_plattformen","https://www.capterra.ch/reviews/103451/outsystems"
"alm_tools container-sicherheitssoftware continuous-integration-tools devops_tools programmiersoftware_&_entwicklertools paas_software_(platform_as_a_service)","https://www.capterra.ch/reviews/158191/heroku"
"alm_tools bugtracker collaboration_tools continuous-integration-tools devops_tools digital_workplace_software_(digitaler_arbeitsplatz) emergency_notification_software_(notfallbenachrichtigung) ide_software_(integrierte_entwicklungsumgebung) source_code_control_systeme projekttracking_software projektmanagement_tools programmiersoftware_&_entwicklertools produktmanagement_software paas_software_(platform_as_a_service) no-code_tools low_code_plattformen log_management_software","https://www.capterra.ch/reviews/1034368/open-devops"
