"category","Product Link"
"datenanalyse_tools datenbank_software datenmanagement_software stammdatenmanagement_tools_(master_data_management) lead_management_software","https://www.capterra.ch/reviews/1031252/zoominfo-operations"
"datenanalyse_tools statistik-programme","https://www.capterra.ch/reviews/121765/sas-statistics"
"datenanalyse_tools testing_tools server_management_software netzwerkanalyse_tool netzwerk_monitoring_tools network_mapping_tools mdm_software lastverteilungsplan_software it-management-software","https://www.capterra.ch/reviews/146805/network-performance-monitor"
"datenanalyse_tools website-monitoring_tools ki_tools","https://www.capterra.ch/reviews/206900/hexowatch"
"datenanalyse_tools deep_learning_software qualitative_datenanalyse_software","https://www.capterra.ch/reviews/181408/mipar"
"datenanalyse_tools risikomanagement_software projektplanungssoftware projektmanagement_tools ppm-software kalkulationssoftware","https://www.capterra.ch/reviews/154650/deltek-project-portfolio-management"
"datenanalyse_tools datenbank_software datenerfassungssoftware","https://www.capterra.ch/reviews/182894/winsql"
"datenanalyse_tools hr_software urlaubsverwaltung_software lohnabrechnungsprogramme","https://www.capterra.ch/reviews/118574/bayan"
"datenanalyse_tools prüfsoftware","https://www.capterra.ch/reviews/1018235/treblle"
"datenanalyse_tools datenschutz-software dsgvo_software reporting-tools","https://www.capterra.ch/reviews/179357/usercentrics"
"datenanalyse_tools","https://www.capterra.ch/reviews/1014188/kickbite"
"datenanalyse_tools","https://www.capterra.ch/reviews/171503/igor-pro-7"
"datenanalyse_tools","https://www.capterra.ch/reviews/1024419/amvisor"
"datenanalyse_tools","https://www.capterra.ch/reviews/186840/ncss"
"datenanalyse_tools","https://www.capterra.ch/reviews/1021313/etsyhunt"
"datenanalyse_tools webanalyse-tools","https://www.capterra.ch/reviews/1037892/conversios"
"datenanalyse_tools predictive_analytics_tools machine_learning_software","https://www.capterra.ch/software/198753/tada#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/1040071/tredict#reviews"
"datenanalyse_tools text_mining_software statistik-programme natural_language_processing_(nlp)_tools machine_learning_software ki_tools","https://www.capterra.ch/software/166580/monkeylearn#reviews"
"datenanalyse_tools energiemanagement_software iot-analytics-software iot_plattformen","https://www.capterra.ch/software/170797/skyspark#reviews"
"datenanalyse_tools datenvisualisierung_software","https://www.capterra.ch/software/208117/chartiq#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/1023121/apollo#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/1030912/top#reviews"
"datenanalyse_tools nosql-databases-software iot-analytics-software","https://www.capterra.ch/software/161119/iqlect#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/198236/sawmill#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/210149/s-p-capital-iq-platform#reviews"
"datenanalyse_tools datenvisualisierung_software webanalyse-tools push_notification_software produktanalyse_software personalisierungssoftware mobile_marketing_software mobile_analytics_software kundenengagement_software","https://www.capterra.ch/software/1018459/dataroid#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/118958/hyperresearch#reviews"
"datenanalyse_tools datenvisualisierung_software finanzrisikomanagement_software","https://www.capterra.ch/software/176102/nodexl#reviews"
"datenanalyse_tools ppc-tools marketing_automation_tools marketing_analysesoftware","https://www.capterra.ch/software/208081/bettermetrics#reviews"
"datenanalyse_tools","https://www.capterra.ch/software/218075/preishoheit#reviews"
"datenanalyse_tools machine_learning_software ki_tools","https://www.capterra.ch/software/1019963/mona#reviews"
"datenanalyse_tools datenmanagement_software etl_tools projektmanagement_tools integrationssoftware","https://www.capterra.ch/software/1021646/nag-migrate#reviews"
"datenanalyse_tools hr_analytics_software hr_software predictive_analytics_tools okr-tools","https://www.capterra.ch/software/1036213/leanmote#reviews"
"datenbank_software ide_software_(integrierte_entwicklungsumgebung)","https://www.capterra.ch/reviews/1021524/datagrip"
"datenbank_software rdbms_software_(relational_database_management_system)","https://www.capterra.ch/reviews/48791/postgresql"
"datenbank_software dokumentenautomatisierung_software","https://www.capterra.ch/reviews/119271/mytaskhelper"
"datenbank_software datenbank-monitoring-software datenerfassungssoftware dcim_software rdbms_software_(relational_database_management_system)","https://www.capterra.ch/reviews/192201/amazon-rds"
"datenbank_software rdbms_software_(relational_database_management_system)","https://www.capterra.ch/reviews/158187/sqlite"
"datenbank_software datenerfassungssoftware datenmanagement_software ide_software_(integrierte_entwicklungsumgebung) rdbms_software_(relational_database_management_system)","https://www.capterra.ch/reviews/197030/dbvisualizer"
"datenbank_software","https://www.capterra.ch/reviews/160609/help-desk-migration"
"datenbank_software datenbank-monitoring-software rdbms_software_(relational_database_management_system) lastverteilungsplan_software","https://www.capterra.ch/reviews/132005/mariadb"
"datenbank_software","https://www.capterra.ch/reviews/168136/postgresql"
"datenbank_software","https://www.capterra.ch/reviews/167938/aiven-kafka"
"datenbank_software","https://www.capterra.ch/reviews/171941/scalegrid"
"datenbank_software","https://www.capterra.ch/reviews/142351/clustercontrol"
"datenbank_software","https://www.capterra.ch/reviews/154292/navicat-premium"
"datenbank_software","https://www.capterra.ch/reviews/196325/dbforge-studio"
"datenbank_software source_code_control_systeme","https://www.capterra.ch/reviews/1016383/sql-complete"
"datenbank_software","https://www.capterra.ch/reviews/76908/ispirer-mnmtk-2015"
"datenbank_software","https://www.capterra.ch/reviews/1029273/universal-data-access-components"
"datenbank_software","https://www.capterra.ch/reviews/191676/iris-data-platform"
"datenbank_software datenmanagement_software etl_tools integrationssoftware","https://www.capterra.ch/reviews/185983/data2crm-migration"
"datenbank_software","https://www.capterra.ch/reviews/148406/apache-cassandra"
"datenbank_software","https://www.capterra.ch/reviews/170642/tableplus"
"datenbank_software","https://www.capterra.ch/reviews/155783/database-management-solutions"
"datenbank_software nosql-databases-software","https://www.capterra.ch/reviews/157533/graph-db"
"datenbank_software","https://www.capterra.ch/reviews/133993/percona-server"
"datenbank_software","https://www.capterra.ch/reviews/1029272/mysql-data-access-components"
"datenbank_software nosql-databases-software","https://www.capterra.ch/reviews/199662/dynamodb"
"datenbank_software datenmanagement_software docketing_software dokumenten-management-systeme vertragsmanagement_software patentverwaltungssoftware","https://www.capterra.ch/reviews/163831/inteum"
"datenbank_software datenbank-monitoring-software server_management_software","https://www.capterra.ch/reviews/86868/sql-sentry"
"datenbank_software","https://www.capterra.ch/reviews/176087/active-query-builder"
"datenbank_software datenmanagement_software rdbms_software_(relational_database_management_system)","https://www.capterra.ch/reviews/199608/aurora"
"datenbank_software datenmanagement_software tabellenprogramme","https://www.capterra.ch/reviews/130046/ragic-builder"
"datenbank_software rdbms_software_(relational_database_management_system) programmiersoftware_&_entwicklertools low_code_plattformen","https://www.capterra.ch/reviews/201494/conzept-16"
"datenbank_software","https://www.capterra.ch/reviews/146583/monyog"
"datenbank_software datenvisualisierung_software flowchart_software gantt_software programmiersoftware_&_entwicklertools no-code_tools","https://www.capterra.ch/reviews/153595/scriptcase"
"datenbank_software","https://www.capterra.ch/reviews/1029274/oracle-data-access-components"
"datenbank_software datenbank-monitoring-software server_management_software rdbms_software_(relational_database_management_system) prüfsoftware programmiersoftware_&_entwicklertools machine_learning_software","https://www.capterra.ch/reviews/179413/database-performance-analyzer"
"datenbank_software datenerfassungssoftware datenmanagement_software","https://www.capterra.ch/reviews/156422/speedbase-professional"
"datenbank_software workflow_management_systeme programmiersoftware_&_entwicklertools","https://www.capterra.ch/reviews/169703/visionx"
"datenbank_software","https://www.capterra.ch/reviews/1013275/robo-3t"
